Draft-rankings-export-2025

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value
183,"Michael Wilson","ARI","WR",75,8,170,109.77,1
184,"Dyami Brown","JAX","WR",76,8,170.1,109.24,1
185,"Tyler Lockett","TEN","WR",77,10,169.5,106.92,"N/A"
186,"DeAndre Hopkins","BAL","WR",78,7,169,106.52,2
187,"Jonnu Smith","PIT","TE",20,5,104.3,133.49,5
188,"Josh Reynolds","NYJ","WR",79,9,170,105.17,"N/A"
189,"Tory Horton","SEA","WR",80,8,169.9,103.57,"N/A"
190,"Darius Slayton","NYG","WR",81,14,170.1,102.03,1
191,"Roman Wilson","PIT","WR",82,5,170,100.85,"N/A"
192,"Devaughn Vele","NO","WR",83,11,170,78.85,1
193,"Denver Broncos DST","DEN","DST",1,12,102.4,106.07,"N/A"
194,"Buffalo Bills DST","BUF","DST",2,7,null,117.72,"N/A"
195,"Pittsburgh Steelers DST","PIT","DST",3,5,98.6,114.1,"N/A"
196,"Minnesota Vikings DST","MIN","DST",4,6,null,104.73,"N/A"
197,"Baltimore Ravens DST","BAL","DST",5,7,109,103.35,"N/A"
198,"Philadelphia Eagles DST","PHI","DST",6,9,109.4,108.22,"N/A"
199,"Houston Texans DST","HOU","DST",7,6,102,104.87,"N/A"
200,"Detroit Lions DST","DET","DST",8,8,null,112.82,"N/A"
201,"Cameron Dicker","LAC","K",1,12,null,146.06,"N/A"
202,"Brandon Aubrey","DAL","K",2,10,113.4,145.86,"N/A"
203,"Matt Gay","WAS","K",3,12,null,141.45,"N/A"
204,"Chase McLaughlin","TB","K",4,9,116.6,144.49,"N/A"
205,"Wil Lutz","DEN","K",5,12,168.7,133.75,"N/A"
206,"Harrison Butker","KC","K",6,10,null,144.08,"N/A"
207,"Jake Bates","DET","K",7,8,109.2,150.17,"N/A"
208,"Tyler Loop","BAL","K",8,7,null,144.21,"N/A"
209,"Tyler Bass","BUF","K",9,7,null,145.68,"N/A"
210,"Los Angeles Rams DST","LAR","DST",9,8,169,105.31,"N/A"
211,"Seattle Seahawks DST","SEA","DST",10,8,null,102.2,"N/A"
212,"Kansas City Chiefs DST","KC","DST",11,10,null,100.77,"N/A"
213,"Evan McPherson","CIN","K",10,10,null,143.66,"N/A"
214,"Ka'imi Fairbairn","HOU","K",11,6,null,138.76,"N/A"
215,"Chris Boswell","PIT","K",12,5,null,144.25,"N/A"
216,"Los Angeles Chargers DST","LAC","DST",12,12,169,96.79,"N/A"
217,"Dak Prescott","DAL","QB",21,10,115.5,240.8,7
218,"Bryce Young","CAR","QB",22,14,null,233.7,"N/A"
219,"Tua Tagovailoa","MIA","QB",23,12,null,239.4,1
220,"Hunter Henry","NE","TE",21,14,null,131.43,2
221,"Zach Ertz","WAS","TE",22,12,null,130.5,1
222,"Geno Smith","LV","QB",24,8,169,239.49,"N/A"
223,"Mason Taylor","NYJ","TE",23,9,170,128.26,"N/A"
224,"Darren Waller","MIA","TE",24,12,170,132,"N/A"
225,"Mike Gesicki","CIN","TE",25,10,168.4,128.06,1
226,"Cam Ward","TEN","QB",25,10,null,236.58,1
227,"Pat Freiermuth","PIT","TE",26,5,null,114.19,2
228,"Ja'Tavion Sanders","CAR","TE",27,14,170,109.39,"N/A"
229,"Daniel Jones","IND","QB",26,11,170.1,236.4,"N/A"
230,"Aaron Rodgers","PIT","QB",27,5,null,232.25,1
231,"Sam Darnold","SEA","QB",28,8,168.8,227.57,"N/A"
232,"Green Bay Packers DST","GB","DST",13,5,null,106.24,"N/A"
233,"San Francisco 49ers DST","SF","DST",14,14,null,113.73,"N/A"
234,"Cade Otton","TB","TE",28,9,169.3,105.87,1
235,"Jake Elliott","PHI","K",13,9,null,148.37,"N/A"
236,"Will Reichard","MIN","K",14,6,169.1,131.4,"N/A"
237,"Tyler Conklin","LAC","TE",29,12,170,84.73,"N/A"
238,"Dallas Cowboys DST","DAL","DST",15,10,null,105.22,"N/A"
239,"Matthew Stafford","LAR","QB",29,8,null,227.8,1
240,"Theo Johnson","NYG","TE",30,14,170,102.89,"N/A"
241,"Juwan Johnson","NO","TE",31,11,170,101.2,1
242,"Elijah Arroyo","SEA","TE",32,8,170,129.67,"N/A"
243,"Russell Wilson","NYG","QB",30,14,169.7,210.45,"N/A"
244,"Adonai Mitchell","IND","WR",84,11,170.1,107.46,1
245,"Jack Bech","LV","WR",85,8,null,99.51,1
246,"Austin Ekeler","WAS","RB",70,12,113.5,65.67,2
247,"Jarquez Hunter","LAR","RB",71,8,170.1,63.66,1
248,"Kareem Hunt","KC","RB",72,10,169.1,61.07,1
